DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/source.txt', wd=2, mask=IN_ATTRIB, cookie=0, name=source.txt>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/[TGx]Downloaded from torrentgalaxy.to .txt', wd=2, mask=IN_ATTRIB, cookie=0, name=[TGx]Downloaded from torrentgalaxy.to .txt>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv', wd=2, mask=IN_DELETE, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/source.txt', wd=2, mask=IN_DELETE, cookie=0, name=source.txt>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/[TGx]Downloaded from torrentgalaxy.to .txt', wd=2, mask=IN_DELETE, cookie=0, name=[TGx]Downloaded from torrentgalaxy.to .txt>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]', wd=2, mask=IN_DELETE_SELF, cookie=0, name=>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]', wd=1, mask=IN_DELETE|IN_ISDIR, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]', wd=1, mask=IN_CREATE|IN_ISDIR, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]', wd=1, mask=IN_CREATE|IN_ISDIR, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv', wd=2, mask=IN_MOVED_TO, cookie=3207162, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv>
DEBUG:watchdog.observers.inotify_buffer:could not find matching move_from event
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv', wd=3, mask=IN_MOVED_TO, cookie=3207162, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv>
DEBUG:watchdog.observers.inotify_buffer:could not find matching move_from event
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/[TGx]Downloaded from torrentgalaxy.to .txt', wd=2, mask=IN_MOVED_TO, cookie=3207163, name=[TGx]Downloaded from torrentgalaxy.to .txt>
DEBUG:watchdog.observers.inotify_buffer:could not find matching move_from event
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/[TGx]Downloaded from torrentgalaxy.to .txt', wd=3, mask=IN_MOVED_TO, cookie=3207163, name=[TGx]Downloaded from torrentgalaxy.to .txt>
DEBUG:watchdog.observers.inotify_buffer:could not find matching move_from event
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/source.txt', wd=2, mask=IN_MOVED_TO, cookie=3207164, name=source.txt>
DEBUG:watchdog.observers.inotify_buffer:could not find matching move_from event
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/source.txt', wd=3, mask=IN_MOVED_TO, cookie=3207164, name=source.txt>
DEBUG:watchdog.observers.inotify_buffer:could not find matching move_from event
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv', wd=3, mask=IN_MOVED_FROM, cookie=3207175, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Torrents/completed/American.Dad.S19E01.720p.WEBRip.x265-MiNX[TGx]/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv', wd=2, mask=IN_MOVED_FROM, cookie=3207175, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/toConvert/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv', wd=1, mask=IN_MOVED_TO, cookie=3207175, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv>
DEBUG:watchdog.observers.inotify_buffer:could not find matching move_from event
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/toConvert/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv', wd=1, mask=IN_MOVED_TO, cookie=3207175, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv>
DEBUG:watchdog.observers.inotify_buffer:could not find matching move_from event
INFO:root:completed Observer has started.
INFO:root:completed Observer has started.
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Converted/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MOVED_TO, cookie=3207354, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/Converted/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4', wd=1, mask=IN_MOVED_TO, cookie=3207354, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mp4>
DEBUG:watchdog.observers.inotify_buffer:could not find matching move_from event
DEBUG:watchdog.observers.inotify_buffer:could not find matching move_from event
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/sharedfolders/convert/toConvert/American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv', wd=1, mask=IN_DELETE, cookie=0, name=American.Dad.S19E01.720p.WEBRip.x265-MiNX.mkv>
